PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,6651 kingsbury,,,,,,,,,
Location:,"Lat, Lon: 34.57, -112.5",,,,,,,,,
Lat (deg N):,34.57,,,,,,,,,
Long (deg W):,112.5,,,,,,,,,
Elev (m):,1688.300049,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.12,,,,,,,,,
Capacity Factor (%),"19.5	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,7,16,0,51,0,1,49.565,-0.462,190.73,166.724
1,7,17,0,0,0,1,0,0,0,0
1,7,18,0,0,0,1,0,0,0,0
1,7,19,0,0,0,1,0,0,0,0
1,7,20,0,0,0,1,0,0,0,0
1,7,21,0,0,0,1,0,0,0,0
1,7,22,0,0,0,0,0,0,0,0
1,7,23,0,0,-1,0,0,-1,0,0
1,8,0,0,0,-1,0,0,-1,0,0
1,8,1,0,0,-2,0,0,-2,0,0
1,8,2,0,0,-3,0,0,-3,0,0
1,8,3,0,0,-3,0,0,-3,0,0
1,8,4,0,0,-3,0,0,-3,0,0
1,8,5,0,0,-3,0,0,-3,0,0
1,8,6,0,0,-3,0,0,-3,0,0
1,8,7,0,0,-2,0,0,-2,0,0
1,8,8,74,57,-1,1,90.77,-0.697,335.519,308.554
1,8,9,119,134,0,1,212.548,5.062,787.873,750.41
1,8,10,201,197,1,1,354.32,11.428,1287.222,1235.963
1,8,11,53,226,1,1,281.186,9.823,1034.243,990.263
1,8,12,103,261,2,1,363.204,13.059,1316.86,1264.71
1,8,13,65,238,2,2,304.854,9.753,1121.637,1075.21
1,8,14,267,204,2,2,422.537,12.78,1526.567,1467.873
1,8,15,53,142,2,1,180.836,7.88,667.457,632.975
1,8,16,32,70,0,1,86.829,1.295,326.405,299.632
1,8,17,0,0,-1,1,0,-1,0,0
1,8,18,0,0,-2,1,0,-2,0,0
1,8,19,0,0,-3,1,0,-3,0,0
1,8,20,0,0,-3,1,0,-3,0,0
1,8,21,0,0,-4,0,0,-4,0,0
1,8,22,0,0,-4,0,0,-4,0,0
1,8,23,0,0,-5,0,0,-5,0,0
1,9,0,0,0,-5,1,0,-5,0,0
1,9,1,0,0,-5,1,0,-5,0,0
1,9,2,0,0,-6,1,0,-6,0,0
1,9,3,0,0,-6,1,0,-6,0,0
1,9,4,0,0,-6,1,0,-6,0,0
1,9,5,0,0,-6,1,0,-6,0,0
1,9,6,0,0,-6,1,0,-6,0,0
1,9,7,0,0,-5,1,0,-5,0,0
1,9,8,670,34,-2,2,270.718,3.486,898.762,858.436
1,9,9,874,54,1,1,526.234,17.198,1797.848,1730.083
1,9,10,960,65,2,1,726.54,25.479,2454.809,2362.245
1,9,11,996,74,4,1,857.627,32.061,2831.64,2723.04
1,9,12,1007,77,5,1,908,34.977,2961.607,2847.17
1,9,13,995,76,5,1,874.214,34.236,2858.448,2748.657
1,9,14,529,154,5,1,558.341,24.915,1903.032,1831.568
1,9,15,83,147,4,0,203.629,15.489,725.052,689.161
1,9,16,712,42,1,0,329.813,14.09,1081.837,1036.533
1,9,17,0,0,0,1,0,0,0,0
1,9,18,0,0,-1,1,0,-1,0,0
1,9,19,0,0,-2,1,0,-2,0,0
1,9,20,0,0,-2,1,0,-2,0,0
1,9,21,0,0,-3,0,0,-3,0,0
1,9,22,0,0,-3,0,0,-3,0,0
1,9,23,0,0,-2,0,0,-2,0,0
1,10,0,0,0,-2,0,0,-2,0,0
1,10,1,0,0,-2,0,0,-2,0,0
1,10,2,0,0,-2,0,0,-2,0,0
1,10,3,0,0,-2,0,0,-2,0,0
1,10,4,0,0,-2,0,0,-2,0,0
1,10,5,0,0,-1,0,0,-1,0,0
1,10,6,0,0,-1,0,0,-1,0,0
1,10,7,0,0,-1,0,0,-1,0,0
1,10,8,156,59,0,0,124.89,1.778,446.552,417.187
1,10,9,233,137,0,0,282.105,10.419,1014.818,971.372
1,10,10,55,187,1,0,235.607,11.173,860.128,820.813
1,10,11,46,223,2,0,272.043,13.105,986.324,943.656
1,10,12,318,252,2,1,547.953,18.846,1933.419,1860.866
1,10,13,96,250,3,1,343.24,14.795,1234.604,1184.908
1,10,14,115,213,3,1,317.955,12.909,1151.077,1103.81
1,10,15,95,155,2,0,220.067,11.898,795.932,758.266
1,10,16,68,77,1,0,113.898,5.578,416.378,387.676
1,10,17,0,0,0,0,0,0,0,0
1,10,18,0,0,0,0,0,0,0,0
1,10,19,0,0,-1,0,0,-1,0,0
1,10,20,0,0,-2,0,0,-2,0,0
1,10,21,0,0,-3,1,0,-3,0,0
1,10,22,0,0,-3,1,0,-3,0,0
1,10,23,0,0,-3,1,0,-3,0,0
1,11,0,0,0,-3,1,0,-3,0,0
1,11,1,0,0,-3,1,0,-3,0,0
1,11,2,0,0,-4,1,0,-4,0,0
1,11,3,0,0,-4,1,0,-4,0,0
1,11,4,0,0,-4,1,0,-4,0,0
1,11,5,0,0,-4,1,0,-4,0,0
1,11,6,0,0,-5,1,0,-5,0,0
1,11,7,0,0,-4,2,0,-4,0,0
1,11,8,695,35,-1,2,279.452,4.726,921.967,881.028
1,11,9,898,55,1,3,540.018,13.246,1877.97,1807.397
1,11,10,986,66,3,3,746.203,20.822,2576.836,2479.224
1,11,11,1020,76,4,2,880.483,28.305,2960.566,2846.176
1,11,12,1034,78,5,2,933.955,31.034,3105.918,2984.816
1,11,13,1025,76,6,2,901.466,31.317,2990.399,2874.647
1,11,14,987,71,5,2,784.709,27.29,2638.079,2537.88
1,11,15,916,60,4,1,597.072,24.709,1992.204,1917.521
1,11,16,759,42,1,1,351.449,13.389,1158.244,1110.771
1,11,17,0,0,-1,1,0,-1,0,0
1,11,18,0,0,-2,1,0,-2,0,0
1,11,19,0,0,-3,1,0,-3,0,0
1,11,20,0,0,-3,1,0,-3,0,0
1,11,21,0,0,-3,1,0,-3,0,0
1,11,22,0,0,-3,1,0,-3,0,0
1,11,23,0,0,-3,1,0,-3,0,0
1,12,0,0,0,-3,1,0,-3,0,0
1,12,1,0,0,-3,1,0,-3,0,0
1,12,2,0,0,-3,1,0,-3,0,0
1,12,3,0,0,-3,1,0,-3,0,0
1,12,4,0,0,-3,1,0,-3,0,0
1,12,5,0,0,-3,2,0,-3,0,0
1,12,6,0,0,-3,2,0,-3,0,0
1,12,7,0,0,-2,2,0,-2,0,0
1,12,8,718,32,0,3,282.405,5.149,927.004,885.931
1,12,9,912,50,2,3,541.355,14.265,1873.103,1802.702
1,12,10,993,61,5,3,745.493,22.741,2551.47,2454.918
1,12,11,1012,78,6,3,877.836,27.318,2965.859,2851.228
1,12,12,611,173,7,3,706.636,24.621,2425.179,2333.819
1,12,13,444,216,8,2,609.273,24.974,2087.297,2009.1
1,12,14,987,71,7,2,786.884,28.309,2633.134,2533.146
1,12,15,919,60,5,1,600.943,25.774,1996.052,1921.229
1,12,16,766,42,2,1,356.039,14.516,1168.86,1121.081
1,12,17,0,0,0,1,0,0,0,0
1,12,18,0,0,-1,1,0,-1,0,0
1,12,19,0,0,-1,2,0,-1,0,0
1,12,20,0,0,-2,2,0,-2,0,0
1,12,21,0,0,-2,2,0,-2,0,0
1,12,22,0,0,-2,2,0,-2,0,0
1,12,23,0,0,-2,1,0,-2,0,0
1,13,0,0,0,-2,1,0,-2,0,0
1,13,1,0,0,-2,1,0,-2,0,0
1,13,2,0,0,-2,1,0,-2,0,0
1,13,3,0,0,-2,1,0,-2,0,0
1,13,4,0,0,-2,1,0,-2,0,0
1,13,5,0,0,-3,2,0,-3,0,0
1,13,6,0,0,-3,2,0,-3,0,0
1,13,7,0,0,-1,2,0,-1,0,0
1,13,8,738,33,1,2,290.088,7.012,944.455,902.916
1,13,9,931,51,4,2,552.708,18.204,1878.798,1808.195
1,13,10,1009,62,7,1,758.181,31.216,2492.847,2398.724
1,13,11,816,99,10,0,757.791,40.912,2396.005,2305.824
1,13,12,821,109,11,0,806.449,43.316,2523.705,2428.308
1,13,13,1031,79,12,1,913.782,41.376,2884.238,2773.294
1,13,14,995,74,11,1,798.343,37.656,2552.902,2456.29
1,13,15,924,64,9,1,614.162,29.986,2001.185,1926.174
1,13,16,767,45,5,1,361.577,17.648,1172.943,1125.046
1,13,17,249,11,3,1,73.77,4.928,219.679,195.096
1,13,18,0,0,2,1,0,2,0,0
1,13,19,0,0,2,1,0,2,0,0
1,13,20,0,0,2,1,0,2,0,0
1,13,21,0,0,1,1,0,1,0,0
1,13,22,0,0,1,1,0,1,0,0
1,13,23,0,0,1,1,0,1,0,0
1,14,0,0,0,1,0,0,1,0,0
1,14,1,0,0,1,0,0,1,0,0
1,14,2,0,0,1,0,0,1,0,0
1,14,3,0,0,0,0,0,0,0,0
1,14,4,0,0,0,1,0,0,0,0
1,14,5,0,0,-1,1,0,-1,0,0
1,14,6,0,0,-2,1,0,-2,0,0
1,14,7,0,0,-1,1,0,-1,0,0
1,14,8,686,35,1,1,275.999,7.669,898.981,858.65
1,14,9,886,55,4,1,534.342,20.359,1799.893,1732.058
1,14,10,969,67,7,1,738.05,30.548,2435.181,2343.416
1,14,11,986,84,9,1,867.294,37.012,2795.866,2688.845
1,14,12,817,111,10,1,806.814,36.772,2610.046,2511.036
1,14,13,735,131,11,1,750.911,35.858,2438.583,2346.68
1,14,14,663,123,10,1,628.665,31.142,2079.524,2001.618
1,14,15,897,61,8,0,593.908,33.136,1906.36,1834.776
1,14,16,752,42,5,0,354.313,22.106,1126.947,1080.369
1,14,17,280,11,3,1,79.7,5.092,234.671,209.787
1,14,18,0,0,3,1,0,3,0,0
1,14,19,0,0,2,1,0,2,0,0
1,14,20,0,0,2,0,0,2,0,0
1,14,21,0,0,2,0,0,2,0,0
1,14,22,0,0,2,0,0,2,0,0
1,14,23,0,0,2,0,0,2,0,0
1,15,0,0,0,1,0,0,1,0,0
1,15,1,0,0,0,1,0,0,0,0
1,15,2,0,0,0,1,0,0,0,0
